"폐지줍던 무식한 애들이 갑자기 똑똑하고 싸움잘하는 중간보스로 변신. 거기다 불필요한 노출씬들. 딱 삼류영화다 평점에 속지맙시다 
			
			
			
				
				
				
				",1
"드라마 자이언트보다 못 한 영화....휴...킬링타임 그이상 이하도 아님 
			
			
			
				
				
				
				",1
"이영화주제에서 주인공분들이 너무 아까워요.ㅠㅠ허무하고 감동이 썩.,..워낙 주인공분들께서 연기를 너무 잘하셨는데ㅠ영화내용이  음... 
			
			
			
				
				
				
				",1
"조합이안됩니다처음부터 끝~~~~까지 
			
			
			
				
				
				
				",1
"내 기대가 너무 과했나.. 
			
			
			
				
				
				
				",1
"평점 조작 진짜 너무하네ㅋㅋㅋ 
			
			
			
				
				
				
				",1
"너무 잔인하다. 배신도 많고.. 
			
			
			
				
				
				
				",1
"다 알바들이신가... 
			
			
			
				
				
				
				",1
"잼없음~ ~기대이하  10자 
			
			
			
				
				
				
				",1
"ㅋㅋㅋ 이게 재밋다고요? 
			
			
			
				
				
				
				",1
"쓰레기 영화. 보고나서 후회되는 영화중에 하나. 
			
			
			
				
				
				
				",1
"이민호 연기 되게 못한다 
			
			
			
				
				
				
				",1
"진짜.. 아오.. 후.... 이게 평점이 7이 넘는 거 보면 10점 알바를 수십만명 정도 풀었다는 얘긴가.? 뭐라 설명하기도 귀찮다 이딴영화. 
			
			
			
				
				
				
				",1
"반개도 아깝다. 폭력과 배신 만 남는 막장 드라마 
			
			
			
				
				
				
				",1
"예고편하고 영화소개를 보고 내용을 짐작했는데 실제로 보니 완전 다르네요. 거짓홍보라... 영화는 재미있었는데... 
			
			
			
				
				
				
				",1
"시간 돈 아까움 굉장히 조잡함 10점을 줬다면 그냥 배우 인기 
			
			
			
				
				
				
				",1
"조금 잔인한게 많네여.. 
			
			
			
				
				
				
				",1
"솔직히 말하면 재미 없습니다. 몇몇 빼고는 연기가 너무 어색함.. 
			
			
			
				
				
				
				",1
"결말개노답 ㅡ.ㅡ,.씨발 
			
			
			
				
				
				
				",1
"유하감독님. 봉준호,박찬욱 감독님과더불어 감독님 작품들 아주 좋아하고 이번작품 기대치없는 이민호씨가 주연이지만  감독님을 믿었는데 정말 너무 실망입니다. 감독님 작품이 아닌듯... 이전에 저력을  다음작품에선 다시 보여주시기 바랍니다. 
			
			
			
				
				
				
				",1
"시종일관 무슨이야기 하는지 모르는 영화. 내용을 너무 짤라내서 지들끼리 희희낙락하고 지들끼리 심각한 영화. 10점 준놈들 거의 알바생. 
			
			
			
				
				
				
				",1
"남자들은 재미있는지 모르겠으나, 여자로선 조폭영화라 잼없다 
			
			
			
				
				
				
				",1
"이 영화 잼있다는 놈들 진심이냐? 
			
			
			
				
				
				
				",1
"이민호가 잘못된건지...감독이 잘못된건지...이민호때문에 밨는데 실망스러움 
			
			
			
				
				
				
				",1
"이제 이런 사회 악같은 영화는 만들지도 보지도 않았으면 한다.너무 잔인하며 이런걸 보는 모든 사람들에게 폭력,살인이 쉽게 느껴질수도있게하는 영화로 보인다. 
			
			
			
				
				
				
				",1
"바람 부는 날엔 강남가시나? 사이비 감독. 
			
			
			
				
				
				
				",1
"이젠 이런 시나리오 안 먹힘... 자극적이고 선정적인  장면으로 감독은 뭘 도대체 얘기하려 한 것일까? 내 돈내고 내 기분 더러워지게 만드는 영화임... 감독님~이제 이런 아무 의미없는 영화 만들지마소... 
			
			
			
				
				
				
				",1
"김래원의 연기를 이민호가 전혀 받아내고 있지 못하다. 전체적으로다 내용의 연관성이 너어어어무약하다. 알바들 쩌네진짜 
			
			
			
				
				
				
				",1
"현재 우리나라 영화의 한계를 보여주는 영화..더 이상 못 보겠더라.. 
			
			
			
				
				
				
				",1
"아음@#@$  ~ 잘잣다~ 
			
			
			
				
				
				
				",1
"별루에요 스토리가 없어쇼 
			
			
			
				
				
				
				",1
"진심이다.돈주고는 보지마라. 
			
			
			
				
				
				
				",1
"너무나도 재미 없는 영화입니다. 
			
			
			
				
				
				
				",1
"아놔 진짜 재미없다, 너무 기대하고 본걸까. 결국은 권력다툼에 희생?ㅋㅁㅁ 어쩌자는 거지?ㅋㅋㅋ 권력이 짱이다?ㅋㅋㅋ 
			
			
			
				
				
				
				",1
